date,IV_C,Std_C,IV_P,Std_P,Target
2021/1/4,0.143243,0.026183,0.246811,0.057108,1
2021/1/5,0.140977,0.019731,0.255319,0.065874,1
2021/1/6,0.187861,0.023991,0.274372,0.118631,1
2021/1/7,0.160879,0.035778,0.282104,0.084587,1
2021/1/8,0.172797,0.034595,0.309074,0.119254,0
2021/1/11,0.177776,0.025204,0.328562,0.095517,0
2021/1/12,0.21178,0.022468,0.300311,0.136172,1
2021/1/13,0.179972,0.032483,0.317178,0.097168,0
2021/1/14,0.212702,0.021296,0.266576,0.081907,1
2021/1/15,0.276341,0.064256,0.184154,0.089444,1
2021/1/18,0.227134,0.0676,0.357181,0.113982,1
2021/1/19,0.221175,0.073877,0.376534,0.158226,0
2021/1/20,0.18994,0.010892,0.281681,0.034127,0
2021/1/21,0.186245,0.026876,0.284481,0.033046,1
2021/1/22,0.2168,0.014121,0.260675,0.029734,1
2021/1/25,0.201345,0.010962,0.313828,0.032994,1
2021/1/26,0.219462,0.021516,0.287359,0.051365,0
2021/1/27,0.200705,0.010585,0.336942,0.099996,0
2021/1/28,0.20837,0.01587,0.305401,0.041015,1
2021/1/29,0.225542,0.020905,0.253162,0.054824,1
2021/2/1,0.161268,0.019055,0.337982,0.033557,1
2021/2/2,0.163714,0.035839,0.283967,0.040591,1
2021/2/3,0.181972,0.013498,0.246264,0.037721,1
2021/2/4,0.153147,0.020614,0.207799,0.02357,1
2021/2/5,0.142368,0.021104,0.184515,0.035811,1
2021/2/17,0.171366,0.017277,0.320029,0.09235,0
2021/2/18,0.185501,0.015082,0.324114,0.085548,0
2021/2/19,0.178493,0.011083,0.336259,0.099444,1
2021/2/22,0.203698,0.010927,0.378753,0.169941,1
2021/2/23,0.18621,0.015714,0.334557,0.170527,0
2021/2/24,0.215538,0.019533,0.35081,0.171855,1
2021/2/25,0.17247,0.008089,0.327441,0.108011,1
2021/2/26,0.222924,0.017238,0.354311,0.162682,0
2021/3/2,0.237575,0.029468,0.304169,0.123089,0
2021/3/3,0.169622,0.023155,0.333954,0.076789,1
2021/3/4,0.212502,0.021187,0.308459,0.124002,1
2021/3/5,0.203071,0.023064,0.358321,0.095095,1
2021/3/8,0.251395,0.032603,0.277093,0.104077,1
2021/3/9,0.215618,0.035747,0.359517,0.073872,1
2021/3/10,0.20273,0.023609,0.318468,0.071872,1
2021/3/11,0.162098,0.028276,0.274371,0.053104,0
2021/3/12,0.158135,0.017885,0.240192,0.05051,0
2021/3/15,0.181051,0.028218,0.305976,0.091535,0
2021/3/16,0.171261,0.054756,0.3018,0.113783,0
2021/3/17,0.150342,0.007882,0.272593,0.066765,0
2021/3/18,0.14268,0.010357,0.210796,0.048137,0
2021/3/19,0.15702,0.025545,0.262249,0.068093,0
2021/3/22,0.156109,0.03822,0.229952,0.026735,1
2021/3/23,0.144231,0.008381,0.213398,0.054143,1
2021/3/24,0.145608,0.005713,0.236572,0.052709,1
2021/3/25,0.131082,0.007267,0.228727,0.035363,1
2021/3/26,0.123481,0.02017,0.234346,0.027414,1
2021/3/29,0.135968,0.014018,0.221219,0.032857,1
2021/3/30,0.131345,0.010581,0.228344,0.040419,1
2021/3/31,0.156665,0.010232,0.202347,0.032174,1
2021/4/1,0.135157,0.008628,0.232174,0.049432,1
2021/4/6,0.146271,0.01245,0.216995,0.051404,0
2021/4/7,0.121029,0.021683,0.211312,0.040708,0
2021/4/8,0.108498,0.034454,0.212557,0.055444,0
2021/4/9,0.138682,0.016099,0.204196,0.091987,1
2021/4/12,0.142808,0.013744,0.255753,0.082989,1
2021/4/13,0.16688,0.026615,0.180094,0.059921,1
2021/4/14,0.123275,0.022027,0.231431,0.055176,1
2021/4/15,0.102962,0.02941,0.229486,0.045272,0
2021/4/16,0.125597,0.026956,0.215761,0.077014,0
2021/4/19,0.146627,0.0268,0.250579,0.08389,1
2021/4/20,0.142128,0.045816,0.297126,0.146249,1
2021/4/21,0.154164,0.0236,0.223758,0.029196,1
2021/4/22,0.166436,0.027322,0.223529,0.0339,1
2021/4/23,0.141359,0.034535,0.241434,0.031263,0
2021/4/26,0.118446,0.020261,0.252106,0.036344,1
2021/4/27,0.148779,0.021944,0.248152,0.058431,1
2021/4/28,0.166329,0.034603,0.237036,0.037613,1
2021/4/29,0.157604,0.015762,0.223484,0.043402,1
2021/5/3,0.197672,0.027922,0.243072,0.040372,0
2021/5/4,0.199308,0.014944,0.274444,0.077957,1
2021/5/5,0.237256,0.061548,0.261304,0.058308,1
2021/5/6,0.171919,0.03934,0.279785,0.045936,1
2021/5/7,0.14315,0.018989,0.265072,0.036353,1
2021/5/10,0.181616,0.023431,0.265813,0.106465,1
2021/5/11,0.262936,0.024301,0.287247,0.096204,1
2021/5/12,0.384325,0.07242,0.496441,0.194101,0
2021/5/13,0.376258,0.049751,0.539421,0.116807,1
2021/5/14,0.278553,0.045589,0.52132,0.118728,1
2021/5/17,0.518421,0.105232,0.654816,0.20351,1
2021/5/18,0.373235,0.129994,0.71411,0.142658,1
2021/5/19,0.243998,0.048623,0.456612,0.129533,1
2021/5/20,0.26028,0.038898,0.521045,0.145536,1
2021/5/21,0.212648,0.02641,0.444061,0.107356,1
2021/5/24,0.212741,0.014515,0.446372,0.11918,1
2021/5/25,0.197524,0.03485,0.379716,0.101296,1
2021/5/26,0.201419,0.048197,0.378309,0.112005,1
2021/5/27,0.169352,0.009138,0.366521,0.08321,1
2021/5/28,0.161064,0.014704,0.352497,0.113642,1
2021/5/31,0.165038,0.024415,0.387697,0.123498,0
2021/6/1,0.151524,0.011522,0.380922,0.141807,0
2021/6/2,0.180554,0.050938,0.336479,0.111752,0
2021/6/3,0.159413,0.014281,0.294067,0.075988,0
2021/6/4,0.167529,0.007502,0.33829,0.116801,0
2021/6/7,0.200578,0.072587,0.391173,0.152024,1
2021/6/8,0.207797,0.035989,0.42951,0.205666,0
2021/6/9,0.195244,0.049206,0.281743,0.068245,1
2021/6/10,0.136812,0.021746,0.26632,0.066125,0
2021/6/11,0.147297,0.018559,0.228383,0.129084,0
2021/6/15,0.165734,0.037473,0.298032,0.128625,1
2021/6/16,0.186388,0.038146,0.229683,0.056498,0
2021/6/17,0.162598,0.05017,0.236908,0.03793,0
2021/6/18,0.137489,0.002764,0.226171,0.033575,0
2021/6/21,0.181187,0.038199,0.280853,0.043217,1
2021/6/22,0.159119,0.03482,0.245837,0.029785,1
2021/6/23,0.148024,0.049023,0.2566,0.047364,1
2021/6/24,0.129923,0.006373,0.24897,0.046577,1
2021/6/25,0.146482,0.01427,0.277845,0.072652,0
2021/6/28,0.12975,0.020155,0.236275,0.050283,1
2021/6/29,0.142138,0.012433,0.248102,0.057731,1
2021/6/30,0.147483,0.025833,0.236124,0.056644,0
2021/7/1,0.146679,0.009775,0.222667,0.064493,0
2021/7/2,0.147729,0.026058,0.242731,0.03535,0
2021/7/5,0.142003,0.016577,0.25285,0.052687,0
2021/7/6,0.152491,0.014784,0.249741,0.060085,0
2021/7/7,0.160273,0.047756,0.267122,0.087939,0
2021/7/8,0.133967,0.008913,0.253709,0.063567,0
2021/7/9,0.152745,0.011676,0.245222,0.062243,0
2021/7/12,0.158854,0.025275,0.267136,0.075699,0
2021/7/13,0.176402,0.024467,0.22393,0.099715,1
2021/7/14,0.151135,0.025378,0.269154,0.086834,1
2021/7/15,0.113562,0.017897,0.229844,0.05498,1
2021/7/16,0.13096,0.024124,0.194247,0.074628,1
2021/7/19,0.182351,0.034136,0.276208,0.064562,1
2021/7/20,0.303949,0.072569,0.27869,0.111771,0
2021/7/21,0.166123,0.039915,0.315939,0.087094,1
2021/7/22,0.153299,0.038441,0.264396,0.048999,0
2021/7/23,0.133558,0.006972,0.298335,0.076819,1
2021/7/26,0.184508,0.052586,0.352705,0.05475,0
2021/7/27,0.158418,0.011616,0.336669,0.064878,1
2021/7/28,0.188826,0.061158,0.352495,0.061169,1
2021/7/29,0.123971,0.015177,0.330986,0.060701,0
2021/7/30,0.15386,0.009632,0.293573,0.091188,1
2021/8/2,0.124526,0.015285,0.356446,0.081578,0
2021/8/3,0.163295,0.064914,0.28607,0.049011,0
2021/8/4,0.153105,0.064313,0.272039,0.05517,1
2021/8/5,0.128287,0.004978,0.288022,0.062849,1
2021/8/6,0.134748,0.034781,0.291382,0.094794,1
2021/8/9,0.142953,0.045963,0.313644,0.085258,1
2021/8/10,0.149985,0.011332,0.353508,0.116091,1
2021/8/11,0.150279,0.029205,0.272262,0.076842,1
2021/8/12,0.145318,0.07157,0.244979,0.06322,1
2021/8/13,0.165911,0.028673,0.215605,0.085208,1
2021/8/16,0.204325,0.045383,0.314191,0.066518,0
2021/8/17,0.280922,0.083442,0.279753,0.127672,0
2021/8/18,0.175494,0.070829,0.387964,0.086361,0
2021/8/19,0.198485,0.049311,0.353039,0.075308,1
2021/8/20,0.188247,0.045853,0.401867,0.072499,1
2021/8/23,0.16201,0.020764,0.375029,0.086831,1
2021/8/24,0.152123,0.00702,0.334633,0.110586,1
2021/8/25,0.150897,0.059395,0.361841,0.132466,1
2021/8/26,0.152917,0.033143,0.344345,0.102162,0
2021/8/27,0.150869,0.04114,0.305107,0.089633,1
2021/8/30,0.137773,0.030268,0.297275,0.063711,0
2021/8/31,0.118564,0.027644,0.325583,0.088431,0
2021/9/1,0.158889,0.033216,0.280662,0.063949,0
2021/9/2,0.160806,0.017288,0.269499,0.090164,0
2021/9/3,0.147237,0.02976,0.262768,0.054376,0
2021/9/6,0.159958,0.013423,0.330181,0.172339,0
2021/9/7,0.15776,0.016515,0.291335,0.135495,0
2021/9/8,0.16095,0.017682,0.298533,0.117288,0
2021/9/9,0.131656,0.01626,0.277768,0.05619,0
2021/9/10,0.112014,0.020942,0.245852,0.049958,0
2021/9/13,0.178013,0.025852,0.264269,0.070516,1
2021/9/14,0.220263,0.046092,0.233067,0.094905,1
2021/9/15,0.169525,0.035636,0.28607,0.045453,0
2021/9/16,0.166837,0.034212,0.279081,0.03804,0
2021/9/17,0.138543,0.013736,0.23755,0.035872,0
2021/9/22,0.18419,0.034816,0.29407,0.041647,0
2021/9/23,0.147032,0.014697,0.320636,0.051001,0
2021/9/24,0.134153,0.012311,0.267268,0.048848,1
2021/9/27,0.148646,0.027544,0.255394,0.060985,1
2021/9/28,0.150256,0.015782,0.277519,0.02713,1
2021/9/29,0.177591,0.016209,0.277428,0.043693,1
2021/9/30,0.148745,0.017566,0.28366,0.04563,0
2021/10/1,0.180634,0.015874,0.311632,0.056031,0
2021/10/4,0.205058,0.012873,0.333139,0.055312,0
2021/10/5,0.187134,0.021462,0.360678,0.037519,0
2021/10/6,0.199319,0.015422,0.330111,0.037001,0
2021/10/7,0.16894,0.020037,0.342597,0.046098,0
2021/10/8,0.195423,0.023713,0.301171,0.028254,0
2021/10/12,0.215668,0.022379,0.329185,0.041304,1
2021/10/13,0.208614,0.026295,0.291512,0.041902,1
2021/10/14,0.189377,0.023978,0.251595,0.051848,1
2021/10/15,0.113641,0.029817,0.262703,0.064749,0
2021/10/18,0.220261,0.044177,0.21833,0.082878,0
2021/10/19,0.184614,0.061762,0.290446,0.1092,0
2021/10/20,0.165114,0.023739,0.27524,0.049357,0
2021/10/21,0.154772,0.014912,0.236682,0.047446,0
2021/10/22,0.145971,0.006421,0.259738,0.042925,0
2021/10/25,0.145973,0.008772,0.264553,0.050425,0
2021/10/26,0.148946,0.006173,0.233125,0.040541,0
2021/10/27,0.136091,0.007604,0.20464,0.040056,0
2021/10/28,0.138714,0.004236,0.22018,0.047679,0
2021/10/29,0.141848,0.008385,0.241086,0.04548,1
2021/11/1,0.147864,0.009021,0.227361,0.0466,1
2021/11/2,0.155703,0.018112,0.210138,0.051494,1
2021/11/3,0.135797,0.00649,0.240064,0.045279,1
2021/11/4,0.157201,0.01391,0.183765,0.04671,1
2021/11/5,0.114957,0.013708,0.231774,0.057252,0
2021/11/8,0.127157,0.012909,0.233016,0.059053,0
2021/11/9,0.135106,0.010134,0.240262,0.110405,0
2021/11/10,0.128964,0.014466,0.198113,0.053641,0
2021/11/11,0.142176,0.023626,0.163339,0.062678,1
2021/11/12,0.133995,0.023959,0.161928,0.094829,1
2021/11/15,0.160377,0.055144,0.179011,0.087134,0
2021/11/16,0.142631,0.023976,0.181597,0.07798,0
2021/11/17,0.118162,0.029852,0.247165,0.068704,0
2021/11/18,0.113137,0.012319,0.217074,0.055722,0
2021/11/19,0.130934,0.011249,0.206077,0.040526,1
2021/11/22,0.129889,0.00523,0.216081,0.045325,1
2021/11/23,0.134464,0.006719,0.19873,0.061469,0
2021/11/24,0.129327,0.004875,0.19318,0.050265,0
2021/11/25,0.127832,0.005296,0.200823,0.048587,0
2021/11/26,0.151453,0.014303,0.194379,0.038761,1
